,CURRENT_PRICE,PREDICTED_PRICE
2025-04-26 04:46:30,,283.91324
2025-04-26 04:47:30,,283.91324
2025-04-26 04:48:30,,283.91324
2025-04-26 04:49:30,,283.91324
2025-04-26 04:50:30,,283.91324
2025-04-26 04:51:30,,283.91324
2025-04-26 04:52:30,,283.91324
2025-04-26 04:53:30,,283.91324
2025-04-26 04:54:30,,283.91324
2025-04-26 04:55:30,,283.91324
2025-04-26 04:56:30,,283.9132
2025-04-26 04:57:30,,283.9132
2025-04-26 04:58:30,,283.9132
2025-04-26 04:59:30,,283.9132
2025-04-26 05:00:30,,283.9132
2025-04-26 05:01:30,,283.9132
2025-04-26 05:02:30,,283.9132
2025-04-26 05:03:30,,283.9132
2025-04-26 05:04:30,,283.9132
2025-04-26 05:05:30,,283.9132
2025-04-26 05:06:30,,283.9132
2025-04-26 05:07:30,,283.9132
2025-04-26 05:08:30,,283.9132
2025-04-26 05:09:30,,283.91324
2025-04-26 05:10:30,,283.9132
2025-04-26 05:11:30,,283.91324
2025-04-26 05:12:30,,283.91324
2025-04-26 05:13:30,,283.91324
2025-04-26 05:14:30,,283.91324
2025-04-26 05:15:30,,283.91324
2025-04-26 05:16:30,,283.91324
2025-04-26 05:17:30,,283.91324
2025-04-26 05:18:30,,283.91324
2025-04-26 05:19:30,,283.91324
2025-04-26 05:20:30,,283.91324
2025-04-26 05:21:30,,283.91324
2025-04-26 05:22:30,,283.91324
2025-04-26 05:23:30,,283.91324
2025-04-26 05:24:30,,283.91324
2025-04-26 05:25:30,,283.91324
2025-04-26 05:26:30,,283.91324
2025-04-26 05:27:30,,283.91324
2025-04-26 05:28:30,,283.91324
2025-04-26 05:29:30,,283.91324
2025-04-26 05:30:30,,283.91324
2025-04-26 05:31:30,,283.91324
2025-04-26 05:32:30,,283.91324
2025-04-26 05:33:30,,283.91324
2025-04-26 05:34:30,,283.91324
2025-04-26 05:35:30,,283.91324
2025-04-26 05:36:30,,283.91324
2025-04-26 05:37:30,,283.91324
2025-04-26 05:38:30,,283.91324
2025-04-26 05:39:30,,283.91324
2025-04-26 05:40:30,,283.91324
2025-04-26 05:41:30,,283.91324
2025-04-26 05:42:30,,283.91324
2025-04-26 05:43:30,,283.91324
2025-04-26 05:44:30,,283.91324
2025-04-26 05:45:30,,283.91324
2025-04-26 05:46:30,,283.91324
2025-04-26 05:47:30,,283.91324
2025-04-26 05:48:30,,283.91324
2025-04-26 05:49:30,,283.91324
2025-04-26 05:50:30,,283.91324
2025-04-26 05:51:30,,283.91324
2025-04-26 05:52:30,,283.91324
2025-04-26 05:53:30,,283.91324
2025-04-26 05:54:30,,283.91324
2025-04-26 05:55:30,,283.91324
2025-04-26 05:56:30,,283.91324
2025-04-26 05:57:30,,283.91324
2025-04-26 05:58:30,,283.91324
2025-04-26 05:59:30,,283.91324
2025-04-26 06:00:30,,283.91324
2025-04-26 06:01:30,,283.91324
2025-04-26 06:02:30,,283.91324
2025-04-26 06:03:30,,283.91324
2025-04-26 06:04:30,,283.91324
2025-04-26 06:05:30,,283.91324
2025-04-26 06:06:30,,283.91324
2025-04-26 06:07:30,,283.91324
2025-04-26 06:08:30,,283.91324
2025-04-26 06:09:30,,283.91324
2025-04-26 06:10:30,,283.91324
2025-04-26 06:11:30,,283.91324
2025-04-26 06:12:30,,283.91324
2025-04-26 06:13:30,,283.91324
2025-04-26 06:14:30,,283.91324
2025-04-26 06:15:30,,283.91324
2025-04-26 06:16:30,,283.91324
2025-04-26 06:17:30,,283.91324
2025-04-26 06:18:30,,283.91324
2025-04-26 06:19:30,,283.91324
2025-04-26 06:20:30,,283.91324
2025-04-26 06:21:30,,283.91324
2025-04-26 06:22:30,,283.91324
2025-04-26 06:23:30,,283.91324
2025-04-26 06:24:30,,283.91324
2025-04-26 06:25:30,,283.91324
2025-04-26 06:26:30,,283.91324
2025-04-26 06:27:30,,283.91324
2025-04-26 06:28:30,,283.91324
2025-04-26 06:29:30,,283.91324
2025-04-26 06:30:30,,283.91324
2025-04-26 06:31:30,,283.91324
2025-04-26 06:32:30,,283.91324
2025-04-26 06:33:30,,283.91324
2025-04-26 06:34:30,,283.91324
2025-04-26 06:35:30,,283.91324
2025-04-26 06:36:30,,283.91324
2025-04-26 06:37:30,,283.91324
2025-04-26 06:38:30,,283.91324
2025-04-26 06:39:30,,283.91324
2025-04-26 06:40:30,,283.91324
2025-04-26 06:41:30,,283.91324
2025-04-26 06:42:30,,283.91324
2025-04-26 06:43:30,,283.91324
2025-04-26 06:44:30,,283.91324
2025-04-26 06:45:30,,283.91324
2025-04-26 06:46:30,,283.91324
2025-04-26 06:47:30,,283.91324
2025-04-26 06:48:30,,283.91324
2025-04-26 06:49:30,,283.91324
2025-04-26 06:50:30,,283.91324
2025-04-26 06:51:30,,283.91324
2025-04-26 06:52:30,,283.91324
2025-04-26 06:53:30,,283.91324
2025-04-26 06:54:30,,283.91324
2025-04-26 06:55:30,,283.91324
2025-04-26 06:56:30,,283.91324
2025-04-26 06:57:30,,283.91324
2025-04-26 06:58:30,,283.91324
2025-04-26 06:59:30,,283.91324
2025-04-26 07:00:30,,283.91324
2025-04-26 07:01:30,,283.91324
2025-04-26 07:02:30,,283.91324
2025-04-26 07:03:30,,283.91324
2025-04-26 07:04:30,,283.91324
2025-04-26 07:05:30,,283.91324
2025-04-26 07:06:30,,283.91324
2025-04-26 07:07:30,,283.91324
2025-04-26 07:08:30,,283.91324
2025-04-26 07:09:30,,283.91324
2025-04-26 07:10:30,,283.91324
2025-04-26 07:11:30,,283.91324
2025-04-26 07:12:30,,283.91324
2025-04-26 07:13:30,,283.91324
2025-04-26 07:14:30,,283.91324
2025-04-26 07:15:30,,283.91324
2025-04-26 07:16:30,,283.91324
2025-04-26 07:17:30,,283.91324
2025-04-26 07:18:30,,283.91324
2025-04-26 07:19:30,,283.91324
2025-04-26 07:20:30,,283.91324
2025-04-26 07:21:30,,283.91324
2025-04-26 07:22:30,,283.91324
2025-04-26 07:23:30,,283.91324
2025-04-26 07:24:30,,283.91324
2025-04-26 07:25:30,,283.91324
2025-04-26 07:26:30,,283.91324
2025-04-26 07:27:30,,283.91324
2025-04-26 07:28:30,,283.91324
2025-04-26 07:29:30,,283.91324
2025-04-26 07:30:30,,283.91324
2025-04-26 07:31:30,,283.91324
2025-04-26 07:32:30,,283.91324
2025-04-26 07:33:30,,283.91324
2025-04-26 07:34:30,,283.91324
2025-04-26 07:35:30,,283.91324
2025-04-26 07:36:30,,283.91324
2025-04-26 07:37:30,,283.91324
