,STOCK_SYMBOL,OPEN_PRICE,CLOSE_PRICE,PREDICTED_PRICE
2025-04-17 10:03:00,AAPL,196.27,196.03,195.9987335205078
2025-04-17 10:04:00,AAPL,195.9901,196.183,196.0411376953125
2025-04-17 10:05:00,AAPL,196.2,196.29,196.0782928466797
2025-04-17 10:06:00,AAPL,196.3,196.01,196.116943359375
2025-04-17 10:07:00,AAPL,196.03,195.755,196.13340759277344
2025-04-17 10:08:00,AAPL,195.74,195.7,196.11636352539062
2025-04-17 10:09:00,AAPL,195.7,195.8278,196.07545471191406
2025-04-17 10:10:00,AAPL,195.84,195.81,196.0313262939453
2025-04-17 10:11:00,AAPL,195.82,195.96,195.9866485595703
2025-04-17 10:12:00,AAPL,195.96,196.29,195.9551544189453
2025-04-17 10:13:00,AAPL,196.23,195.8919,195.9574432373047
2025-04-17 10:14:00,AAPL,195.8805,195.87,195.95196533203125
2025-04-17 10:15:00,AAPL,195.88,195.93,195.9404296875
2025-04-17 10:16:00,AAPL,195.92,195.7375,195.9302215576172
2025-04-17 10:17:00,AAPL,195.74,195.94,195.90774536132812
2025-04-17 10:18:00,AAPL,195.95,195.82,195.8936767578125
2025-04-17 10:19:00,AAPL,195.85,196.03,195.87722778320312
2025-04-17 10:20:00,AAPL,196.03,195.6902,195.87547302246094
2025-04-17 10:21:00,AAPL,195.68,195.75,195.85867309570312
2025-04-17 10:22:00,AAPL,195.81,196.01,195.8380126953125
2025-04-17 10:23:00,AAPL,196.05,196.0505,195.8350372314453
2025-04-17 10:24:00,AAPL,196.04,195.88,195.84619140625
2025-04-17 10:25:00,AAPL,195.875,196.0489,195.8531951904297
2025-04-17 10:26:00,AAPL,196.04,196.22,195.8693084716797
2025-04-17 10:27:00,AAPL,196.25,195.95,195.90231323242188
2025-04-17 10:28:00,AAPL,195.94,195.74,195.92422485351562
2025-04-17 10:29:00,AAPL,195.74,195.65,195.92279052734375
2025-04-17 10:30:00,AAPL,195.64,194.71,195.9005126953125
2025-04-17 10:31:00,AAPL,194.72,195.2901,195.79959106445312
2025-04-17 10:32:00,AAPL,195.28,196.06,195.69822692871094
2025-04-17 10:33:00,AAPL,196.08,196.2435,195.65846252441406
2025-04-17 10:34:00,AAPL,196.24,196.36,195.6727752685547
2025-04-17 10:35:00,AAPL,196.26,196.2005,195.72816467285156
2025-04-17 10:36:00,AAPL,196.25,196.07,195.79403686523438
2025-04-17 10:37:00,AAPL,196.08,195.995,195.852783203125
2025-04-17 10:38:00,AAPL,196.01,195.9,195.89784240722656
2025-04-17 10:39:00,AAPL,195.8905,196.23,195.9246063232422
2025-04-17 10:40:00,AAPL,196.2488,196.79,195.9617919921875
2025-04-17 10:41:00,AAPL,196.781,196.78,196.04290771484375
2025-04-17 10:42:00,AAPL,196.78,196.91,196.14501953125
2025-04-17 10:43:00,AAPL,196.9126,196.92,196.2623291015625
2025-04-17 10:44:00,AAPL,196.94,196.76,196.3816680908203
2025-04-17 10:45:00,AAPL,196.75,196.65,196.482421875
2025-04-17 10:46:00,AAPL,196.67,196.57,196.55661010742188
2025-04-17 10:47:00,AAPL,196.5699,196.47,196.60316467285156
2025-04-17 10:48:00,AAPL,196.47,196.31,196.62181091308594
2025-04-17 10:49:00,AAPL,196.305,196.275,196.6099853515625
2025-04-17 10:50:00,AAPL,196.27,196.31,196.5771484375
2025-04-17 10:51:00,AAPL,196.3099,195.98,196.53561401367188
2025-04-17 10:52:00,AAPL,195.99,195.8015,196.46749877929688
2025-04-17 10:53:00,AAPL,195.8121,195.89,196.37449645996094
2025-04-17 10:54:00,AAPL,195.88,196.005,196.27853393554688
2025-04-17 10:55:00,AAPL,196.02,195.92,196.1953582763672
2025-04-17 10:56:00,AAPL,195.9,195.86,196.11964416503906
2025-04-17 10:57:00,AAPL,195.86,195.9327,196.0494842529297
2025-04-17 10:58:00,AAPL,195.94,195.9612,195.9928436279297
2025-04-17 10:59:00,AAPL,195.96,195.7826,195.9507293701172
2025-04-17 11:00:00,AAPL,195.79,195.91,195.9079132080078
2025-04-17 11:01:00,AAPL,195.94,195.87,195.87696838378906
2025-04-17 11:02:00,AAPL,195.8313,195.785,195.8529510498047
2025-04-17 11:03:00,AAPL,195.77,195.61,195.82904052734375
2025-04-17 11:04:00,AAPL,195.61,195.56,195.7946319580078
2025-04-17 11:05:00,AAPL,195.57,195.64,195.75270080566406
2025-04-17 11:06:00,AAPL,195.635,196.49,195.7149658203125
2025-04-17 11:07:00,AAPL,196.52,196.27,195.7433624267578
2025-04-17 11:08:00,AAPL,196.275,196.5,195.79547119140625
2025-04-17 11:09:00,AAPL,196.53,196.31,195.87542724609375
2025-04-17 11:10:00,AAPL,196.3,196.46,195.95387268066406
2025-04-17 11:11:00,AAPL,196.43,196.5866,196.0369110107422
2025-04-17 11:12:00,AAPL,196.575,196.7587,196.1262969970703
2025-04-17 11:13:00,AAPL,196.74,196.7993,196.22584533691406
2025-04-17 11:14:00,AAPL,196.79,196.885,196.32774353027344
2025-04-17 11:15:00,AAPL,196.9,196.659,196.4301300048828
2025-04-17 11:16:00,AAPL,196.66,196.42,196.50938415527344
2025-04-17 11:17:00,AAPL,196.41,196.74,196.55145263671875
2025-04-17 11:18:00,AAPL,196.7496,196.8902,196.59024047851562
2025-04-17 11:19:00,AAPL,196.89,196.95,196.6346893310547
