ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-04-24 20:10:30,293.8176800225943,282.7737534180536,285.4834126445985,293.8176800225943,293.8176800225943,-9.674279405841421,-9.674279405841421,-9.674279405841421,-9.674279405841421,-9.674279405841421,-9.674279405841421,0.0,0.0,0.0,284.14340061675284
2025-04-24 20:11:30,293.8179242189724,282.6812168064166,285.55150599541696,293.8179242189724,293.8179242189724,-9.656922436145695,-9.656922436145695,-9.656922436145695,-9.656922436145695,-9.656922436145695,-9.656922436145695,0.0,0.0,0.0,284.1610017828267
2025-04-24 20:12:30,293.8181684153505,282.77201047778163,285.6437280822785,293.8181684153505,293.8181684153505,-9.638874991525684,-9.638874991525684,-9.638874991525684,-9.638874991525684,-9.638874991525684,-9.638874991525684,0.0,0.0,0.0,284.1792934238248
2025-04-24 20:13:30,293.8184126117286,282.7948599960923,285.56195729610624,293.8184126117286,293.8184126117286,-9.62012365778223,-9.62012365778223,-9.62012365778223,-9.62012365778223,-9.62012365778223,-9.62012365778223,0.0,0.0,0.0,284.19828895394636
2025-04-24 20:14:30,293.8186568081067,282.9055883206833,285.6449639037647,293.8186568081067,293.8186568081067,-9.60065497810676,-9.60065497810676,-9.60065497810676,-9.60065497810676,-9.60065497810676,-9.60065497810676,0.0,0.0,0.0,284.21800182999993
2025-04-24 20:15:30,293.8189010044848,282.850814785062,285.5973293091562,293.8189010044848,293.8189010044848,-9.580455460648983,-9.580455460648983,-9.580455460648983,-9.580455460648983,-9.580455460648983,-9.580455460648983,0.0,0.0,0.0,284.23844554383584
2025-04-24 20:16:30,293.81914520086286,282.82291692742996,285.606855892489,293.81914520086286,293.81914520086286,-9.559511578623827,-9.559511578623827,-9.559511578623827,-9.559511578623827,-9.559511578623827,-9.559511578623827,0.0,0.0,0.0,284.25963362223905
2025-04-24 20:17:30,293.81938939724097,282.8947568596312,285.6875464356924,293.81938939724097,293.81938939724097,-9.537809778302044,-9.537809778302044,-9.537809778302044,-9.537809778302044,-9.537809778302044,-9.537809778302044,0.0,0.0,0.0,284.2815796189389
2025-04-24 20:18:30,293.8196335936191,282.88270113337967,285.7869294454525,293.8196335936191,293.8196335936191,-9.515336479508468,-9.515336479508468,-9.515336479508468,-9.515336479508468,-9.515336479508468,-9.515336479508468,0.0,0.0,0.0,284.3042971141106
2025-04-24 20:19:30,293.8198777899972,282.8849848540987,285.68585435852276,293.8198777899972,293.8198777899972,-9.492078082854876,-9.492078082854876,-9.492078082854876,-9.492078082854876,-9.492078082854876,-9.492078082854876,0.0,0.0,0.0,284.3277997071423
